iter	RMSE
0	294.3974401
1	273.7838809
2	251.3357075
3	234.5295718
4	215.7604198
5	197.612507
6	180.6866131
7	165.4020713
8	155.0515274
9	142.8347328
10	131.7856049
11	121.0643695
12	110.8952028
13	102.9859082
14	95.65035606
15	89.05624917
16	82.34714107
17	76.04842292
18	70.09757062
19	65.06071745
20	60.04598378
21	55.93025508
22	52.03564959
23	48.73273315
24	45.35451792
25	42.46876356
26	39.86894103
27	37.08458421
28	34.9751898
29	32.41664572
30	30.44574452
31	28.76295894
32	27.32321216
33	25.70725137
34	24.33892815
35	22.84875428
36	21.57092868
37	20.45058702
38	19.63122229
39	18.94490449
40	18.53349761
41	17.92297211
42	17.17944702
43	16.57359335
44	15.97303732
45	15.60496495
46	15.23784959
47	14.89405015
48	14.63025232
49	14.34341598
50	14.11595885
51	13.86712496
52	13.65972246
53	13.41056593
54	13.1880052
55	12.96782895
56	12.84494987
57	12.71704062
58	12.62767024
59	12.53425855
60	12.49142057
61	12.38202471
62	12.33379954
63	12.25346412
64	12.16468161
65	12.01632617
66	11.90372522
67	11.83814502
68	11.78761917
69	11.73804825
70	11.69845412
71	11.54367616
72	11.51227888
73	11.47139833
74	11.44125077
75	11.3455355
76	11.31461819
77	11.28945311
78	11.25046372
79	11.12500157
80	10.99392771
81	10.96569995
82	10.95411019
83	10.92072324
84	10.81254174
85	10.79978587
86	10.78548191
87	10.76621239
88	10.74757869
89	10.7262011
90	10.70700824
91	10.68875872
92	10.68044845
93	10.65589707
94	10.63440599
95	10.5139733
96	10.49216697
97	10.40759611
98	10.38565087
99	10.36851767
