iter	Passed	Remaining
0	1	187
1	3	191
2	5	175
3	7	175
4	10	204
5	12	196
6	13	185
7	15	182
8	16	169
9	18	164
10	20	163
11	22	161
12	23	157
13	25	153
14	26	150
15	28	152
16	30	148
17	31	145
18	33	142
19	35	140
20	36	137
21	38	134
22	39	133
23	41	130
24	42	128
25	44	125
26	45	123
27	47	121
28	48	118
29	50	116
30	51	114
31	52	112
32	54	110
33	55	108
34	57	106
35	58	104
36	60	102
37	61	100
38	63	99
39	64	97
40	65	94
41	67	92
42	68	91
43	70	89
44	71	87
45	73	86
46	75	85
47	77	84
48	79	83
49	81	81
50	83	79
51	84	78
52	90	80
53	94	80
54	96	79
55	98	77
56	101	76
57	103	74
58	104	72
59	106	70
60	107	68
61	109	67
62	110	65
63	112	63
64	115	62
65	118	61
66	121	60
67	125	58
68	128	57
69	130	56
70	132	54
71	136	52
72	138	51
73	140	49
74	142	47
75	144	45
76	145	43
77	146	41
78	148	39
79	151	37
80	152	35
81	154	33
82	156	31
83	157	30
84	159	28
85	160	26
86	162	24
87	164	22
88	166	20
89	168	18
90	170	16
91	172	14
92	173	13
93	175	11
94	176	9
95	178	7
96	179	5
97	181	3
98	182	1
99	184	0
